"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.608145458E0,1.674390733E-1,6.743574739E-1,-3.167159081E0,3.242482149E0
6.618131458E0,3.185942769E-1,6.452851892E-1,-3.170357704E0,3.251009576E0
6.628117458E0,4.258810282E-1,5.506551266E-1,-3.195780754E0,3.270720157E0
6.638102458E0,4.721015692E-1,3.748365939E-1,-3.198969603E0,3.255270938E0
6.648088458E0,4.657102525E-1,2.155747712E-1,-3.170747757E0,3.212008695E0
6.658074458E0,4.367720783E-1,9.229032695E-2,-3.096202850E0,3.128219852E0
6.668059458E0,3.740908504E-1,-1.064351574E-2,-2.998281002E0,3.021546991E0
6.678045458E0,2.678102255E-1,-7.585846633E-2,-2.898887396E0,2.912219936E0
6.688031458E0,1.088487282E-1,-1.262480766E-1,-2.812373877E0,2.817309611E0
6.698016458E0,-7.658344507E-2,-1.803885847E-1,-2.790498257E0,2.797371192E0
6.708002458E0,-2.640372217E-1,-2.241062373E-1,-2.799590588E0,2.820930116E0
6.717988458E0,-4.382502437E-1,-2.644820809E-1,-2.795845747E0,2.842317274E0
6.727973458E0,-5.891476274E-1,-2.334096581E-1,-2.809266090E0,2.879852594E0
6.737959458E0,-7.003953457E-1,-1.323874146E-1,-2.787000656E0,2.876708662E0
6.747945458E0,-7.530487180E-1,-3.398067504E-2,-2.713546515E0,2.816304626E0
6.757930208E0,-7.580586672E-1,-5.104243755E-4,-2.582279921E0,2.691249299E0
6.767916208E0,-7.466523647E-1,-6.009945273E-2,-2.426894903E0,2.539866250E0
6.777902208E0,-7.535519600E-1,-1.876494884E-1,-2.296684504E0,2.424420053E0
6.787887208E0,-7.915198207E-1,-3.588446677E-1,-2.209625244E0,2.374387677E0
6.797873208E0,-8.038297296E-1,-5.161632299E-1,-2.178555489E0,2.378796068E0
6.807859208E0,-7.582781911E-1,-6.834850907E-1,-2.131985188E0,2.363789019E0
6.817844208E0,-6.468052268E-1,-7.960621119E-1,-2.086138487E0,2.324660335E0
6.827830208E0,-4.836751521E-1,-5.876271129E-1,-2.166164875E0,2.295978559E0
6.837816208E0,-3.405026197E-1,-3.174938858E-1,-2.302570343E0,2.349164657E0
6.847801208E0,-2.647415400E-1,-2.184863389E-1,-2.422605991E0,2.446802843E0
6.857787208E0,-2.330531031E-1,-2.710793912E-1,-2.490583181E0,2.516108576E0
6.867772208E0,-1.815811247E-1,-3.264529109E-1,-2.497648239E0,2.525428663E0
6.877758208E0,-8.191986382E-2,-2.837255001E-1,-2.447879314E0,2.465628553E0
6.887744208E0,2.875178121E-2,-2.240696251E-1,-2.358625174E0,2.369419037E0
6.897729208E0,1.072475538E-1,-2.387504578E-1,-2.250010014E0,2.265181865E0
6.907715208E0,1.562449187E-1,-2.899784744E-1,-2.103389025E0,2.129024514E0
6.917701208E0,2.118982673E-1,-2.718088031E-1,-1.882705450E0,1.913990782E0
6.927686208E0,2.606554329E-1,-2.497586310E-1,-1.650520086E0,1.689537565E0
6.937672208E0,2.742254734E-1,-2.416176349E-1,-1.494213939E0,1.538263302E0
6.947658208E0,2.594300210E-1,-2.300619185E-1,-1.427147388E0,1.468666773E0
6.957643208E0,2.599577010E-1,-1.968263090E-1,-1.427244067E0,1.464016472E0
6.967629208E0,2.888993323E-1,-1.393923163E-1,-1.433870196E0,1.469311669E0
6.977615208E0,3.115247488E-1,-8.533354849E-2,-1.407412291E0,1.444000983E0
6.987600208E0,2.878886759E-1,-4.040868953E-2,-1.356914043E0,1.387706191E0
6.997586208E0,2.207049131E-1,3.311133757E-2,-1.273021460E0,1.292435939E0
7.007572208E0,1.316083223E-1,1.693165898E-1,-1.151196718E0,1.171000744E0
7.017557208E0,4.346648604E-2,3.598425388E-1,-1.005534649E0,1.068866651E0
7.027543208E0,-3.821586072E-2,5.791845322E-1,-8.651948571E-1,1.041862426E0
7.037529208E0,-1.111118197E-1,7.994889617E-1,-7.541391253E-1,1.104651192E0
7.047514208E0,-1.717554629E-1,1.017651200E0,-6.840199232E-1,1.238142625E0
7.057500208E0,-2.204487473E-1,1.202811003E0,-6.458461881E-1,1.382920553E0
7.067486208E0,-2.446033508E-1,1.324558258E0,-6.374311447E-1,1.490169065E0
7.077471208E0,-2.420088202E-1,1.376622796E0,-6.808905005E-1,1.554757365E0
7.087457208E0,-2.301923782E-1,1.345413208E0,-8.014867306E-1,1.582879089E0
7.097442208E0,-2.534848452E-1,1.197658896E0,-9.818404317E-1,1.569283923E0
7.107428208E0,-3.422354758E-1,8.717800975E-1,-1.147624135E0,1.481272026E0
7.117414208E0,-4.745140076E-1,5.409756303E-1,-1.254683256E0,1.446391458E0
7.127399208E0,-5.923761725E-1,4.412109554E-1,-1.295254350E0,1.491060182E0
7.137385208E0,-6.559351683E-1,5.688470006E-1,-1.271184683E0,1.539398699E0
7.147371208E0,-6.687116623E-1,7.960053086E-1,-1.203600764E0,1.590425898E0
7.157356208E0,-6.332232952E-1,1.027063727E0,-1.099875450E0,1.632653560E0
7.167342208E0,-5.421802402E-1,1.219634771E0,-9.772795439E-1,1.654250191E0
7.177328208E0,-4.022510350E-1,1.282826543E0,-8.903658986E-1,1.612513959E0
7.187313208E0,-2.037475258E-1,1.198212028E0,-8.675128222E-1,1.493252696E0
7.197299208E0,6.900450587E-2,1.071913004E0,-8.858978152E-1,1.392326847E0
7.207285208E0,3.910339475E-1,9.097593427E-1,-9.069002867E-1,1.342772408E0
7.217270208E0,7.058932781E-1,6.566048861E-1,-8.910529613E-1,1.312779752E0
7.227256208E0,9.689422250E-1,3.300227225E-1,-8.191305399E-1,1.311006817E0
7.237242208E0,1.178858519E0,-5.193558522E-3,-7.095522285E-1,1.375935589E0
7.247227208E0,1.325016260E0,-3.356106281E-1,-5.960575938E-1,1.491169755E0
7.257213208E0,1.402320385E0,-6.720380187E-1,-4.499698281E-1,1.618829950E0
7.267199208E0,1.407309055E0,-1.016580224E0,-2.646151483E-1,1.756125083E0
7.277184208E0,1.336888552E0,-1.373929262E0,-8.288351446E-2,1.918807519E0
7.287170208E0,1.246311784E0,-1.710909963E0,1.717144623E-2,2.116790217E0
7.297156208E0,1.169445395E0,-1.899416804E0,8.945534006E-3,2.230575431E0
7.307141208E0,1.088947058E0,-2.008930206E0,-4.536031559E-2,2.285533598E0
7.317127208E0,9.796385765E-1,-2.116051197E0,-9.989444166E-2,2.333954436E0
7.327112208E0,8.423198462E-1,-2.255462646E0,-1.314017624E-1,2.411199058E0
7.337098208E0,6.738021970E-1,-2.405970573E0,-1.199333593E-1,2.501417161E0
7.347084208E0,4.689827859E-1,-2.568513155E0,-5.383370817E-2,2.611532644E0
7.357069208E0,2.355809808E-1,-2.746762276E0,5.859898403E-2,2.757468991E0
7.367055208E0,-1.437159535E-2,-2.854911327E0,2.044960111E-1,2.862262016E0
7.377041208E0,-2.597042024E-1,-2.852827549E0,3.705301285E-1,2.888488164E0
7.387026208E0,-4.996249080E-1,-2.776736259E0,5.427042842E-1,2.873050164E0
7.397012208E0,-7.483185530E-1,-2.682935715E0,6.657083035E-1,2.863789841E0
7.406998208E0,-9.821451902E-1,-2.595292091E0,6.966747642E-1,2.861032321E0
7.416983208E0,-1.166320562E0,-2.417702436E0,6.647977829E-1,2.765419465E0
7.426969208E0,-1.303923368E0,-2.137430191E0,5.967233777E-1,2.573888646E0
7.436955208E0,-1.423184872E0,-1.841541409E0,5.334119201E-1,2.387730768E0
7.446940208E0,-1.545372009E0,-1.635747433E0,4.959801137E-1,2.304309134E0
7.456926208E0,-1.680687547E0,-1.495592952E0,4.639870226E-1,2.297127089E0
7.466912208E0,-1.807949424E0,-1.353004217E0,4.226513207E-1,2.297375822E0
7.476897208E0,-1.914105415E0,-1.160588861E0,3.522294164E-1,2.266016683E0
7.486883208E0,-2.014748096E0,-9.122163653E-1,2.115942836E-1,2.221738223E0
7.496868208E0,-2.121423960E0,-5.899869204E-1,-4.210855067E-2,2.202339055E0
7.506854208E0,-2.220255613E0,-2.026437074E-1,-4.392577708E-1,2.272343911E0
7.516840208E0,-2.277533293E0,1.545703411E-1,-9.559240937E-1,2.474841563E0
7.526825208E0,-2.257408142E0,4.744250476E-1,-1.476431251E0,2.738762473E0
7.536811208E0,-2.158158064E0,6.160101295E-1,-1.870138407E0,2.921392197E0
7.546797208E0,-2.012289762E0,6.647430062E-1,-2.092993498E0,2.978559238E0
7.556782208E0,-1.872149587E0,6.191963553E-1,-2.135684967E0,2.906802105E0
7.566768208E0,-1.759883523E0,5.093553066E-1,-2.028554678E0,2.733435005E0
7.576754208E0,-1.712139249E0,3.760804832E-1,-1.758370042E0,2.482885930E0
7.586739208E0,-2.080943584E0,-3.986170888E-1,-1.301247716E0,2.486456797E0
7.596725208E0,-3.283074856E0,-2.035366535E0,-7.308010459E-1,3.931331531E0
7.606711208E0,-4.287408829E0,-2.982798576E0,-2.318644524E-1,5.228070671E0
7.616696208E0,-5.058125496E0,-3.334970236E0,-2.309233695E-2,6.058646158E0
7.626682208E0,-5.870663166E0,-3.877107859E0,6.348329782E-2,7.035672071E0
7.636668208E0,-6.669422150E0,-4.406342983E0,1.758639216E-1,7.995497384E0
7.646653208E0,-7.619255066E0,-4.835218906E0,3.291003704E-1,9.029988742E0
7.656639208E0,-8.779647827E0,-5.334309101E0,4.953487217E-1,1.028505906E1
7.666624208E0,-9.869729042E0,-5.881850719E0,5.789536238E-1,1.150403871E1
7.676610208E0,-1.065483952E1,-6.342333317E0,5.835073590E-1,1.241335079E1
7.686596208E0,-1.112828064E1,-6.594576836E0,5.311338902E-1,1.294639629E1
7.696581208E0,-1.126317883E1,-6.552354813E0,5.131516457E-1,1.304054736E1
7.706567208E0,-1.123132229E1,-6.702611923E0,5.588831902E-1,1.309121680E1
7.716553208E0,-1.089778423E1,-6.812858582E0,5.649285913E-1,1.286452049E1
7.726538208E0,-1.001330853E1,-6.254240513E0,4.414002597E-1,1.181425860E1
7.736524208E0,-8.505190849E0,-4.321390629E0,-6.913921237E-2,9.540307573E0
7.746510208E0,-6.397961140E0,-1.117944837E0,-9.252413511E-1,6.560470940E0
7.756495208E0,-3.924040318E0,1.839516759E0,-1.357376337E0,4.541407804E0
7.766481708E0,-1.581323624E0,3.047153234E0,-1.087249517E0,3.601088551E0
7.776467708E0,3.381813765E-1,2.701227427E0,-4.636698663E-1,2.761518785E0
7.786452708E0,1.663925052E0,2.065469265E0,6.574857049E-3,2.652329748E0
7.796438708E0,2.279227495E0,1.749296784E0,1.387932748E-1,2.876487578E0
7.806423708E0,2.312887192E0,1.732495427E0,2.477056533E-2,2.889913692E0
7.816409708E0,2.121421576E0,1.996292830E0,-1.723020822E-1,2.918099136E0
7.826395708E0,1.897649407E0,2.318331718E0,-2.761794925E-1,3.008655903E0
7.836380708E0,1.792360306E0,2.650115252E0,-2.320876867E-1,3.207729884E0
7.846366708E0,1.927108765E0,3.051640749E0,-1.116355807E-1,3.610917052E0
7.856352708E0,2.271320343E0,3.464441299E0,-7.049629092E-2,4.143213649E0
7.866337708E0,2.657971382E0,3.769338369E0,-1.130661219E-1,4.613621957E0
7.876323708E0,3.034227371E0,3.955685139E0,-2.558413446E-1,4.991937044E0
7.886309708E0,3.470264673E0,4.073045254E0,-4.732474387E-1,5.371815120E0
7.896294708E0,3.996807814E0,4.108283520E0,-6.674682498E-1,5.770440195E0
7.906280708E0,4.600437164E0,4.098832130E0,-7.812156081E-1,6.210857007E0
7.916265708E0,5.263769150E0,4.074843884E0,-7.688705325E-1,6.700953681E0
7.926251708E0,5.914538860E0,3.997704029E0,-6.587448120E-1,7.169194666E0
7.936237708E0,6.496820450E0,3.881841183E0,-5.197876692E-1,7.586009896E0
7.946222708E0,6.971920013E0,3.837997198E0,-4.628561735E-1,7.971958793E0
7.956208708E0,7.262551308E0,3.795351028E0,-5.095386505E-1,8.210296618E0
7.966194708E0,7.333674908E0,3.558002710E0,-6.160488129E-1,8.174453320E0
7.976179708E0,7.236277580E0,3.123400927E0,-7.769241929E-1,7.919782684E0
7.986165708E0,7.063064575E0,2.614609480E0,-9.777105451E-1,7.594667987E0
7.996151708E0,6.888922215E0,2.156084299E0,-1.189280748E0,7.315759529E0
8.006136708E0,6.772914886E0,1.793954492E0,-1.380099654E0,7.141101024E0
8.016122708E0,6.692732811E0,1.478304505E0,-1.512017369E0,7.018849850E0
8.026108708E0,6.552231789E0,1.156040788E0,-1.569592237E0,6.836065499E0
8.036093708E0,6.286422253E0,8.604367971E-1,-1.557175517E0,6.533318591E0
8.046079708E0,5.888731956E0,6.166044474E-1,-1.507112145E0,6.109726026E0
8.056064708E0,5.416517735E0,4.398550391E-1,-1.454625726E0,5.625661990E0
8.066050708E0,4.935221672E0,3.016159236E-1,-1.404863715E0,5.140138828E0
8.076036708E0,4.474538326E0,2.332798839E-1,-1.342319369E0,4.677364004E0
8.086021708E0,4.062360287E0,2.578488588E-1,-1.280377984E0,4.267156537E0
8.096007708E0,3.714564323E0,3.382277489E-1,-1.209889174E0,3.921252088E0
8.105993708E0,3.417505980E0,4.030642509E-1,-1.105556130E0,3.614424196E0
8.115978708E0,3.162982225E0,4.250034690E-1,-9.978622198E-1,3.343772348E0
8.125964708E0,2.948026657E0,4.452299178E-1,-9.088063836E-1,3.116892666E0
8.135950708E0,2.732484579E0,3.935942352E-1,-8.597980738E-1,2.891477326E0
8.145935708E0,2.493186712E0,1.707257181E-1,-8.974679708E-1,2.655292077E0
8.155921708E0,2.250890255E0,-1.722926944E-1,-9.851793647E-1,2.463081422E0
8.165907708E0,2.043627739E0,-5.019805431E-1,-1.034365892E0,2.344847884E0
8.175892708E0,1.863066792E0,-7.603310347E-1,-1.011620164E0,2.252220351E0
8.185878708E0,1.697969794E0,-9.436348081E-1,-9.361746311E-1,2.156379144E0
8.195863708E0,1.535059810E0,-1.015091658E0,-8.406313062E-1,2.023235203E0
8.205849708E0,1.377619863E0,-1.051887751E0,-7.768454552E-1,1.899419171E0
8.215835708E0,1.263489842E0,-1.068386555E0,-7.470616698E-1,1.815477224E0
8.225820708E0,1.169411778E0,-1.056806564E0,-7.260339260E-1,1.735364309E0
8.235806708E0,1.041327596E0,-1.049238324E0,-7.289397120E-1,1.648216408E0
8.245792708E0,8.810012341E-1,-1.006361127E0,-7.441875935E-1,1.530601537E0
8.255777708E0,6.988874078E-1,-8.920321465E-1,-7.386945486E-1,1.352713789E0
8.265763708E0,5.385571122E-1,-6.848480701E-1,-6.829208136E-1,1.106996603E0
8.275749708E0,4.145503640E-1,-4.294735193E-1,-5.978075266E-1,8.447918956E-1
8.285734708E0,3.268063962E-1,-1.519510895E-1,-5.091524720E-1,6.238010853E-1
8.295720708E0,2.627207339E-1,6.487590820E-2,-4.458049238E-1,5.215104002E-1
8.305705708E0,2.414700240E-1,2.034364492E-1,-4.392298460E-1,5.409408646E-1
8.315691708E0,3.027647436E-1,3.005022407E-1,-4.405184686E-1,6.132084538E-1
8.325677708E0,4.207286537E-1,3.228743970E-1,-4.058316052E-1,6.678021923E-1
8.335662708E0,5.684586167E-1,2.249776870E-1,-3.203462660E-1,6.902042370E-1
8.345648708E0,7.505810261E-1,6.887175608E-3,-1.895674914E-1,7.741803044E-1
8.355634708E0,9.293764830E-1,-3.582075238E-1,-4.621411860E-2,9.970902777E-1
8.365619708E0,1.101371527E0,-8.920131326E-1,9.564191103E-3,1.417320762E0
8.375605708E0,1.343350768E0,-1.449764132E0,-2.756007016E-3,1.976465259E0
8.385591708E0,1.686119080E0,-1.968397975E0,2.229634859E-2,2.591926941E0
8.395576708E0,2.045667648E0,-2.418696642E0,1.171743423E-1,3.169949432E0
8.405562708E0,2.345072031E0,-2.776527643E0,2.719261050E-1,3.644504409E0
8.415547708E0,2.530888319E0,-3.211482525E0,4.789440334E-1,4.116843825E0
8.425533708E0,2.628913641E0,-3.763650894E0,7.564389706E-1,4.652790013E0
8.435519708E0,2.739128351E0,-4.097849369E0,1.106864691E0,5.051766327E0
8.445504708E0,2.782016516E0,-4.395311832E0,1.424082041E0,5.393180106E0
8.455490708E0,2.740222216E0,-4.627072811E0,1.713458180E0,5.643984366E0
8.465476708E0,2.697970390E0,-4.704062462E0,1.963789463E0,5.767470583E0
8.475461708E0,2.597240448E0,-4.718158722E0,2.166910172E0,5.805357815E0
8.485447708E0,2.397805929E0,-4.793835163E0,2.401737690E0,5.873557080E0
8.495433708E0,2.223778486E0,-4.803946972E0,2.667785168E0,5.927914892E0
8.505418708E0,2.095396042E0,-4.792513371E0,2.858985424E0,5.960928337E0
8.515404708E0,1.960408688E0,-4.891656399E0,2.917588234E0,6.023605702E0
8.525389708E0,1.788212657E0,-5.142066479E0,2.938357353E0,6.186476874E0
8.535375708E0,1.566141963E0,-5.389031887E0,3.031966209E0,6.378658513E0
8.545361708E0,1.257774591E0,-5.476003170E0,3.195223331E0,6.463594958E0
8.555346708E0,9.190406799E-1,-5.283357143E0,3.374100208E0,6.335854377E0
8.565332708E0,6.331138611E-1,-4.833850861E0,3.551149607E0,6.031385482E0
8.575318708E0,4.063976407E-1,-4.238888264E0,3.697404861E0,5.639515535E0
8.585303708E0,2.047888786E-1,-3.751231670E0,3.805329323E0,5.347355308E0
8.595289708E0,-5.048578233E-2,-3.372765303E0,3.851792812E0,5.120000241E0
8.605275708E0,-4.139500260E-1,-3.206617832E0,3.757367611E0,4.956971244E0
8.615260708E0,-9.202356339E-1,-3.107706785E0,3.539196014E0,4.799019016E0
8.625246708E0,-1.568975568E0,-2.716431379E0,3.269178867E0,4.530807239E0
8.635231708E0,-2.236701488E0,-1.987717748E0,2.922636271E0,4.182781152E0
8.645217708E0,-2.812406063E0,-1.102480888E0,2.451205969E0,3.890180288E0
8.655203708E0,-3.262229204E0,-4.432514906E-1,1.961288452E0,3.832135652E0
8.665188708E0,-3.612097025E0,-1.095097363E-1,1.530943990E0,3.924669005E0
8.675174708E0,-3.913836241E0,-2.895158902E-2,1.131337523E0,4.074171929E0
8.685160708E0,-4.174092770E0,1.189144794E-2,6.860620975E-1,4.230115017E0
8.695145708E0,-4.391416550E0,8.330152184E-2,2.634063959E-1,4.400097884E0
8.705131708E0,-4.540888786E0,9.867835045E-2,-1.141799614E-2,4.541975204E0
8.715117708E0,-4.608670712E0,9.185270965E-2,-1.729575694E-1,4.612829605E0
8.725102708E0,-4.566788673E0,1.842718571E-1,-3.025674820E-1,4.580508922E0
8.735088708E0,-4.427875996E0,3.538533151E-1,-4.766322672E-1,4.467491054E0
8.745073708E0,-4.250287056E0,7.093584538E-1,-7.070726752E-1,4.366701414E0
8.755059708E0,-4.107714653E0,1.264473081E0,-9.405495524E-1,4.399641497E0
8.765045500E0,-4.033377647E0,1.862784982E0,-1.173622251E0,4.595159662E0
8.775030500E0,-4.016736031E0,2.327401876E0,-1.392191887E0,4.846562295E0
8.785016500E0,-4.039632797E0,2.415072680E0,-1.618538260E0,4.977034788E0
8.795002500E0,-4.106640339E0,2.302347660E0,-1.996711850E0,5.113918051E0
8.804987500E0,-4.218009949E0,1.972125173E0,-2.463444710E0,5.267774242E0
8.814973500E0,-4.388895035E0,1.423219800E0,-2.916145802E0,5.458192060E0
8.824958500E0,-4.642071247E0,8.251017928E-1,-3.293799400E0,5.751411385E0
8.834944500E0,-4.950904846E0,3.645474315E-1,-3.569511890E0,6.114390302E0
8.844930500E0,-5.241551399E0,7.467006147E-2,-3.720825434E0,6.428372935E0
8.854915500E0,-5.484400749E0,-5.775136128E-2,-3.812018156E0,6.679331495E0
8.864901500E0,-5.667788982E0,-1.431613266E-1,-3.868462801E0,6.863623792E0
8.874887500E0,-5.790397644E0,-1.550841779E-1,-3.907414198E0,6.987176947E0
8.884872500E0,-5.856537342E0,-7.601812482E-2,-3.916650057E0,7.045917688E0
8.894858500E0,-5.848407269E0,-3.808255866E-2,-3.804599524E0,6.977126586E0
8.904843500E0,-5.778539658E0,1.013728008E-1,-3.552079678E0,6.783735479E0
8.914829500E0,-5.604702950E0,4.011086524E-1,-3.221290350E0,6.476904725E0
8.924815500E0,-5.045050144E0,1.137267828E0,-2.884461403E0,5.921657425E0
8.934800500E0,-4.128669262E0,1.724065542E0,-2.501194239E0,5.125844758E0
8.944786500E0,-2.945501566E0,2.124596596E0,-2.090562820E0,4.190506303E0
8.954772500E0,-1.819797158E0,2.129596949E0,-1.744302273E0,3.299914435E0
8.964757500E0,-9.346995354E-1,1.845453620E0,-1.478897214E0,2.542931233E0
8.974743500E0,-3.190155327E-1,1.756929278E0,-1.298364520E0,2.207786635E0
8.984729500E0,5.391558632E-3,1.868844986E0,-1.352981687E0,2.307199622E0
8.994714500E0,5.826370791E-2,1.761291862E0,-1.662811995E0,2.422908874E0
9.004700500E0,-1.483147740E-1,1.561023593E0,-2.142233372E0,2.654798627E0
9.014685500E0,-5.292833447E-1,1.317783594E0,-2.725037098E0,3.072868635E0
9.024671500E0,-9.663349390E-1,1.094331622E0,-3.335335732E0,3.640855580E0
9.034657500E0,-1.266107082E0,9.654674530E-1,-3.893327951E0,4.206323464E0
9.044642500E0,-1.370185852E0,9.365609884E-1,-4.363370895E0,4.668357455E0
9.054628500E0,-1.314360142E0,1.072341204E0,-4.655133724E0,4.954566402E0
9.064614500E0,-1.159897566E0,1.263089061E0,-4.743762970E0,5.044208903E0
9.074599500E0,-9.566629529E-1,1.380073667E0,-4.700072289E0,4.991040658E0
9.084585500E0,-7.351419926E-1,1.432589889E0,-4.556377888E0,4.832528013E0
9.094570500E0,-5.288491845E-1,1.503851414E0,-4.308865547E0,4.594297861E0
9.104556500E0,-3.450668752E-1,1.595129490E0,-4.008878231E0,4.328350022E0
9.114542500E0,-2.053180337E-1,1.527366638E0,-3.688399553E0,3.997411113E0
9.124527500E0,-9.457553923E-2,1.321612120E0,-3.406427860E0,3.655044992E0
9.134513500E0,-2.442566305E-2,1.078480840E0,-3.220326185E0,3.396206453E0
9.144499500E0,-4.836249165E-3,8.006430268E-1,-3.094683886E0,3.196579578E0
9.154484500E0,-6.544710696E-2,7.294903994E-1,-2.979282618E0,3.067990300E0
9.164470500E0,-1.882113814E-1,8.779600263E-1,-2.875731230E0,3.012651231E0
9.174456500E0,-3.391794860E-1,1.014251590E0,-2.738968372E0,2.940356570E0
9.184441500E0,-4.897394478E-1,9.628552794E-1,-2.585129261E0,2.801754506E0
9.194427500E0,-5.715738535E-1,7.715424895E-1,-2.499999523E0,2.678053789E0
9.204412500E0,-5.820573568E-1,5.254618526E-1,-2.554743528E0,2.672380104E0
9.214398500E0,-5.494210124E-1,4.409111738E-1,-2.679762840E0,2.770811252E0
9.224384500E0,-5.160292387E-1,6.612570882E-1,-2.782999754E0,2.906653530E0
9.234369500E0,-5.554279685E-1,9.637979269E-1,-2.869275331E0,3.077360492E0
9.244355500E0,-6.279184222E-1,1.128935456E0,-2.911640406E0,3.185345611E0
9.254341500E0,-7.184965014E-1,1.097927451E0,-2.929314137E0,3.209760617E0
9.264326500E0,-8.139103651E-1,1.087596297E0,-2.963670492E0,3.260162354E0
9.274312500E0,-8.982992768E-1,1.102022767E0,-3.098306417E0,3.408943887E0
9.284297500E0,-9.987078905E-1,1.191289067E0,-3.319739580E0,3.665686562E0
9.294283500E0,-1.095976353E0,1.518623233E0,-3.535780907E0,4.001140751E0
9.304269500E0,-1.135211706E0,1.904750466E0,-3.651567698E0,4.272086915E0
9.314254500E0,-1.069517136E0,2.109201908E0,-3.682277203E0,4.376272956E0
9.324240500E0,-9.095756412E-1,2.188910484E0,-3.668459415E0,4.367636825E0
9.334226500E0,-6.587487459E-1,2.316685200E0,-3.694024324E0,4.409852144E0
9.344211500E0,-3.344053030E-1,2.378444433E0,-3.717564344E0,4.425958595E0
9.354197500E0,2.693110704E-2,2.317792654E0,-3.745674133E0,4.404879429E0
9.364182500E0,4.017268121E-1,2.481266260E0,-3.766167879E0,4.527923054E0
9.374168500E0,8.143938780E-1,2.657616377E0,-3.732757092E0,4.653991588E0
9.384154500E0,1.247291803E0,2.335285187E0,-3.683643579E0,4.536355780E0
9.394139500E0,1.697226644E0,1.783684373E0,-3.612396240E0,4.371671856E0
9.404125500E0,2.144513607E0,1.149928689E0,-3.540195942E0,4.295842398E0
9.414111500E0,2.558779955E0,6.140248775E-1,-3.488205671E0,4.369434770E0
9.424096500E0,2.842109680E0,1.681968123E-1,-3.433127165E0,4.460071718E0
9.434082500E0,2.975080729E0,-1.465648711E-1,-3.359103441E0,4.489561508E0
9.444067500E0,2.807262182E0,-4.477085918E-2,-3.246877670E0,4.292428217E0
9.454053500E0,2.247325182E0,2.561156452E-1,-3.188586950E0,3.909367268E0
9.464039500E0,1.312868357E0,8.228679895E-1,-3.162658691E0,3.521809911E0
9.474024500E0,3.734822571E-1,1.172138929E0,-3.255671501E0,3.480344177E0
9.484010500E0,-2.043677717E-1,1.687080860E0,-3.385785341E0,3.788344017E0
9.493996500E0,-3.906459510E-1,2.007940292E0,-3.514149189E0,4.066161949E0
9.503981500E0,-2.820797861E-1,1.974526048E0,-3.645417690E0,4.155405185E0
9.513967500E0,1.383541804E-2,1.807430506E0,-3.705234289E0,4.122591126E0
9.523953500E0,3.963289857E-1,1.622242689E0,-3.646969318E0,4.011126178E0
9.533938500E0,7.650489211E-1,1.459629059E0,-3.456883907E0,3.829603529E0
9.543924500E0,9.882867932E-1,1.230707765E0,-3.180760145E0,3.550857289E0
9.553909500E0,1.006601810E0,9.702413678E-1,-2.849827290E0,3.174292220E0
9.563895500E0,8.372993469E-1,7.190006375E-1,-2.502823114E0,2.735352931E0
9.573881500E0,5.754218102E-1,4.523256123E-1,-2.187694788E0,2.306884740E0
9.583866500E0,3.018627167E-1,1.998305023E-1,-1.911159635E0,1.945143819E0
9.593852500E0,2.870722860E-2,9.362349659E-2,-1.663483977E0,1.666363828E0
9.603837500E0,-2.391417921E-1,8.223395050E-2,-1.488559842E0,1.509887950E0
9.613823500E0,-4.744760394E-1,1.101565734E-1,-1.398147702E0,1.480567114E0
9.623809500E0,-5.894564390E-1,1.920860559E-1,-1.340521455E0,1.476940661E0
9.633794500E0,-5.241769552E-1,3.800939023E-1,-1.312593579E0,1.463603348E0
9.643780500E0,-3.142509162E-1,5.723248720E-1,-1.345404029E0,1.495466950E0
9.653766500E0,-6.606555730E-2,7.023099661E-1,-1.423249602E0,1.588472026E0
9.663751500E0,2.008273900E-1,6.397358179E-1,-1.503989697E0,1.646687148E0
9.673737500E0,5.019487143E-1,5.912600160E-1,-1.545090795E0,1.728828066E0
9.683723500E0,7.548726201E-1,6.022168398E-1,-1.560300589E0,1.834948425E0
9.693708500E0,9.007519484E-1,6.558471918E-1,-1.568860054E0,1.924269077E0
9.703694500E0,9.390050173E-1,7.589660883E-1,-1.601274729E0,2.005452743E0
9.713679500E0,9.071273208E-1,8.168767095E-1,-1.624253988E0,2.031838712E0
9.723665500E0,7.511819601E-1,8.960109353E-1,-1.594322205E0,1.977112345E0
9.733651500E0,4.836810827E-1,9.642039537E-1,-1.540876865E0,1.880940767E0
9.743636500E0,1.875037402E-1,9.786995649E-1,-1.519256234E0,1.816906711E0
9.753622500E0,-4.757611081E-2,9.064875245E-1,-1.560832739E0,1.805597396E0
9.763607958E0,-1.684998721E-1,8.079106212E-1,-1.631899476E0,1.828717496E0
9.773592958E0,-1.740902513E-1,8.406121135E-1,-1.677585721E0,1.884470746E0
9.783578958E0,-8.936551213E-2,9.186658859E-1,-1.673038840E0,1.910756961E0
9.793563958E0,1.652373374E-1,7.880681157E-1,-1.576386929E0,1.770127250E0
9.803549958E0,4.855580926E-1,7.693309188E-1,-1.416190267E0,1.683220602E0
9.813535958E0,7.842705846E-1,6.213978529E-1,-1.259465575E0,1.608561213E0
9.823520958E0,1.015331268E0,6.075358391E-1,-1.109456062E0,1.622001891E0
