"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
7.165879583E-1,-1.641168147E-1,1.831346512E0,-6.204581857E-1,1.940549596E0
7.265739583E-1,-4.393121302E-1,2.153798819E0,-7.534525990E-1,2.323690022E0
7.365599583E-1,-6.988741755E-1,2.356382847E0,-8.600720167E-1,2.603975635E0
7.465449583E-1,-9.475218058E-1,2.464174986E0,-9.526057839E-1,2.806673068E0
7.565324582E-1,-1.172883749E0,2.519597769E0,-1.047026753E0,2.969898016E0
7.665184583E-1,-1.376745224E0,2.585779190E0,-1.177731276E0,3.157329946E0
7.765034583E-1,-1.532085776E0,2.636722565E0,-1.354327559E0,3.336734309E0
7.864894583E-1,-1.627061605E0,2.621906042E0,-1.565897107E0,3.460311332E0
7.964754583E-1,-1.654603481E0,2.483753681E0,-1.790031433E0,3.480080108E0
8.064614583E-1,-1.616986394E0,2.244290829E0,-2.014505625E0,3.421946702E0
8.164464583E-1,-1.512733698E0,2.004945993E0,-2.231140137E0,3.359487757E0
8.264324582E-1,-1.349416256E0,1.832125902E0,-2.435600996E0,3.333130925E0
8.364184583E-1,-1.143276691E0,1.714004040E0,-2.618139505E0,3.331598102E0
8.464044583E-1,-9.611972570E-1,1.542944431E0,-2.766049623E0,3.309925710E0
8.563894583E-1,-7.952128053E-1,1.458146214E0,-2.890195370E0,3.333434125E0
8.663754583E-1,-6.406045556E-1,1.442043662E0,-3.004308701E0,3.393484181E0
8.763614583E-1,-4.974202514E-1,1.422374368E0,-3.113313198E0,3.458799621E0
8.863474583E-1,-3.560951054E-1,1.353417277E0,-3.232656479E0,3.522585693E0
8.963324582E-1,-2.123840153E-1,1.245205283E0,-3.363661051E0,3.593029200E0
9.063184583E-1,-6.649471819E-2,1.090932369E0,-3.482879400E0,3.650342984E0
9.163044583E-1,6.727186590E-2,9.393612146E-1,-3.576200008E0,3.698125403E0
9.262894583E-1,1.742548496E-1,8.077097535E-1,-3.627049923E0,3.719979965E0
9.362754583E-1,2.628755569E-1,7.179572582E-1,-3.641882181E0,3.721272901E0
9.462614583E-1,3.335348070E-1,4.601793289E-1,-3.635582685E0,3.679738027E0
9.562474584E-1,3.721426725E-1,-6.550790370E-2,-3.661813259E0,3.681257638E0
9.662324582E-1,3.961927891E-1,-4.885622859E-1,-3.681823730E0,3.735169048E0
9.762184583E-1,4.371045530E-1,-6.881025434E-1,-3.574642658E0,3.666417275E0
9.862044583E-1,4.859097600E-1,-7.464919090E-1,-3.367775917E0,3.483571887E0
9.961894583E-1,5.159195662E-1,-7.480876446E-1,-3.085662127E0,3.216693781E0
1.006175458E0,5.256630182E-1,-7.165703773E-1,-2.750804663E0,2.890799372E0
1.016161458E0,5.135996938E-1,-6.535413265E-1,-2.394883394E0,2.535028083E0
1.026147458E0,4.776450992E-1,-6.413107514E-1,-2.081614971E0,2.229920449E0
1.036132458E0,4.220547974E-1,-7.336862683E-1,-1.843482852E0,2.028510492E0
1.046118458E0,3.704202175E-1,-8.859209418E-1,-1.685106516E0,1.939497621E0
1.056104458E0,3.439036310E-1,-9.562079310E-1,-1.575445056E0,1.874734765E0
1.066090458E0,3.417127132E-1,-8.527873158E-1,-1.463077068E0,1.727601891E0
1.076075458E0,3.467309177E-1,-6.326789260E-1,-1.327978373E0,1.511301264E0
1.086061458E0,3.398660719E-1,-3.954378963E-1,-1.180639267E0,1.290654545E0
1.096047458E0,3.119124770E-1,-2.158042490E-1,-1.001109242E0,1.070551532E0
1.106032458E0,2.599397004E-1,-1.487337351E-1,-7.714174986E-1,8.275115280E-1
1.116018458E0,1.975903064E-1,-1.570550501E-1,-4.900686443E-1,5.512490309E-1
1.126004458E0,1.348031312E-1,-2.119801939E-1,-1.832910925E-1,3.109712388E-1
1.135990458E0,7.625672966E-2,-2.657542229E-1,1.305009276E-1,3.057300899E-1
1.145975458E0,1.757838577E-2,-2.889958322E-1,4.249194562E-1,5.141829781E-1
1.155961458E0,-5.280549824E-2,-3.257993758E-1,6.822194457E-1,7.578634613E-1
1.165947458E0,-1.337596178E-1,-4.102075398E-1,8.938353658E-1,9.925238144E-1
