"event","experiment time","system time","system time text"
"START",0.000000000E0,1770381185.568,"2026-02-06 13:33:05.568 UTC+01:00"
"PAUSE",2.448589436E1,1770381210.054,"2026-02-06 13:33:30.054 UTC+01:00"
